"Contractor","Case Count"
"MOLDTELECOM S.A.",735
"CIA ASITO S.A.",569
"B.C. MOLDOVA-AGROINDBANK S.A.",323
"MOLDASIG S.A.",304
"Î.M. MOLDCELL S.A.",299
"BANCA DE ECONOMII S.A.",208
"Î.S. CADASTRU",152
"TERMOELECTRICA S.A.",90
"MAGDAS.R.L.",88
"NEGA S.R.L.",79
"PLANIFICARE S.R.L.",76
"SLAVENA LUX S.R.L.",73
"S.R.L. VATRA",65
"Î.M. C.I.A. TRANSELIT S.A.",61
"C.A. DONARIS VIENNA INSURANCE GROUP S.A.",49
"F.P.C. ROGOB S.R.L.",48
"CATOL LUX S.R.L.",45
"Î.S. Servicii Pază a MAI",40
"C.A. ASTERRA GRUP S.A.",40
"OLIMP S.R.L.",37
"VEC S.R.L.",36
"TEHNICA S.R.L.",33
"S.R.L. CONSTRUCTORUL",33
"OLMOSDON S.R.L.",31
"VOLTA S.R.L.",31
"VAD S.R.L.",29
"MOLDPRESA S.A.",29
"C.C. AQUATRADE S.R.L.",28
"TELEMAR S.R.L.",28
"MOLDTRANS-TUR S.R.L.",28
"ENERGIA SRL",28
"LORINELA GRUP S.R.L.",28
"Î.M. ORANGE MOLDOVA S.A.",28
"DITA ESTFARM S.R.L.",27
"EXCLUSIV S.R.L.",24
"DITA ESTFARMS.R.L.",23
"INTECO MEDIA GRUPS.R.L.",22
"INTECO MEDIA GRUP S.R.L.",22
"Î.C.S. BEMOL RETAIL S.R.L.",21
"S.R.L. IMEXAGRO",21
"Î.S. VAMSERVINFORM",20
"""Moldpresa Grup""",18
"MOLDPRESA GRUP S.R.L.",18
"AGROPIESE TGR GRUP S.R.L.",18
"CONSTRUM S.R.L.",17
"F.C.P. SOLDI S.R.L.",17
"ELPO S.R.L.",17
"DAMICOM S.R.L.",17
"Î.M. ROMPETROL  MOLDOVA S.A.",16
"JUSTSTUDIUMANIMA S.R.L.",16
"Î.M. TIREX PETROL S.A.",15
"Compania ASITO S.A.",15
"FARMACIA FAMILIEI S.R.L.",15
"Î.M. AUTO MALL S.R.L.",15
"LITARCOM S.R.L.",14
"BICOMPLEX S.R.L.",14
"MARSTEL GRUP S.R.L.",13
"SOVERANG S.R.L.",13
"TIRAMISA S.R.L.",13
"FLORENI S.A.",12
"TINA S.R.L.",12
"DIO-PLUS S.R.L.",12
"ORIZONTUL S.R.L.",12
"Serviabil S.R.L.",11
"BIROVITS S.R.L.",11
"F.P.C. MGM S.R.L.",11
"Casa de Comerţ VITA S.R.L.",11
"Faclia S.R.L",11
"PPE S.R.L.",11
"AIR MOLDOVA Î.S.",10
"F.P.C. CHETON GRUP S.R.L.",10
"AMTA-TIS S.R.L.",10
"EXIMOTOR S.A.",9
"Î.C.S. PETROM-MOLDOVA S.A.",9
"MITRA-GRUP S.A.",9
"POLICONTRACT S.R.L.",9
"ELIO DESIGN S.R.L.",9
"ALIVALDA S.R.L.",9
"Î.M.R.E.I. LUMTEH",8
"SABRIS COM S.R.L.",8
"Î.C.S. DELAMODE MOLDOVA S.R.L.",8
"S.C. ELAN POLIGRAF S.R.L.",8
"S.H. HENDRIX  BAIL S.R.L.",8
"TETIS INTERNATIONAL CO S.R.L.",8
"AP SISTEM S.R.L.",8
"Î.M. AGROPIESE TGR GRUP S.R.L.",8
"FLERIXON S.R.L.",8
"UNICART-PRIM S.R.L.",8
"SOLEI-TURISM S.R.L.",7
"OAZA S.R.L.",7
"Casa de Odihnă NISTRU S.R.L.",7
"S.R.L. EUROLUMINA",7
"SANGRIDIV S.R.L.",7
"SEDIORUS S.R.L.",7
"ALGU CONSTRUCT S.R.L.",7
"S.R.L. EXCONS GRUP",7
"Serviabil",6
"VICCON S.A.",6
"S.C. ALIOCOR LT S.R.L.",6
"SERGIU PLUS NICOLAE S.R.L.",6
"AUTO TYRES S.R.L.",6
"UNIVERSCONS S.R.L.",6
"ANSERGLOB S.R.L.",6
"POLIS S.R.L.",6
"ARSENAL S.R.L.",6
"Î.C.S. FARMINA S.R.L.",6
"TRANZIT S.R.L.",6
"LISMEDFARM S.R.L.",6
"PACIFIC MOTORS MOLDOVA S.R.L.",6
"VisPas şi Co S.R.L.",6
"S.C. MEDIA SHOW GRUP S.R.L.",6
"INCONARM S.A.",5
"S.P.B. CONSTRUCTORUL Î.S.",5
"Î.M. GRAWE CARAT Asigurări S.A.",5
"EAST-AUTO-LADA S.R.L.",5
"S.C. IMONA GRUP S.R.L.",5
"MOLDCARBUNE S.R.L.",5
"ICAM S.A.",5
"VICTIANA S.R.L.",5
"COMITEK S.R.L.",5
"S.C. IMUNOTEHNOMED S.R.L.",5
"BANTCARAD S.R.L.",5
"PRIDE SYSTEM S.R.L.",5
"UTILTRANS CONSTRUCT S.R.L.",5
"ELECTROMOTOR-SERVICE S.R.L.",5
"ROCARP CONSTRUCT S.R.L.",5
"TAROL-DD S.R.L.",5
